run_id,description,grouped_cv_mean,worst_fold,notes
A0,"supplied starter: LightGBM+TFIDF pairwise precedence, MDS mesh, DP eras",0.54784,0.49670,baseline from supplied report.json
B1,mesh recast as difference-constraint system; local search for ONE feasible order; learned same-era + DP,0.77665,0.76796,O=0.865 M=0.727 A=0.545
B2,B1 + learned break-boundary model in DP (weight 0.5),0.77745,0.76897,small consistent gain
B3,B1 + break-boundary model (weight 1.0),0.77809,0.76867,weight 1.0 kept
B4,"B1 + candidate consensus, temp 0.5",0.78993,0.78203,smooth unimodal sweep
B5,"B1 + candidate consensus, temp 1.0",0.79734,0.79080,sweep peak
B6,"B1 + candidate consensus, temp 2.0",0.79319,0.78033,
B7,"B1 + candidate consensus, temp 3.0",0.79030,0.77583,
B8,"B1 + candidate consensus, temp 5.0",0.78815,0.77623,
B9,"B1 + candidate consensus, temp 8.0",0.78593,0.76906,
C1,"consensus temp 1.0 + boundary weight 1.0, no numeric guard",0.79873,0.79148,config chosen from sweeps; no guard for non-feasible rows
C2,"C1 + guard clipping BOTH gap bounds to [0,900]",0.79699,0.79027,rejected: capping the lower bound discards real long-chronology gaps
C3,FINAL SHIPPED: C1 + guard clipping ONLY the upper bound,0.79872,0.79229,recovers C1 exactly on feasible rows; best worst-fold; generated submission.csv
