experiment,representation,model,validation_scheme,mean_score,std_score,notes
Exp 1 - V1 Baseline SGD,Isolated 6 windows + pos prefix TF-IDF 60k,SGDClassifier (modified_huber),4-Fold Grouped SVD-KMeans,0.1171,0.0509,V1 baseline under grouped validation
Exp 2 - Neural Multi-Position Model,Word (5000) + Char (2000) + Global (1000) TF-IDF,AudienceResponseMultiPositionModel (Encoder+PosEmb+BiGRU+6Heads+OrdinalLoss),4-Fold Grouped SVD-KMeans,0.1194,0.0572,PyTorch sequence model with mild class weights & ordinal loss
Exp 3 - Calibrated Sparse Multi-Head Model,Position-specific window + global prefix TF-IDF 30k,6-Head Position-Conditioned Logistic Regression (balanced),4-Fold Grouped SVD-KMeans,0.1012,0.0523,Position-aware logistic heads with exact class probability output
Exp 4 - Neural + Sparse Ensemble,Combined Neural (Word+Char+Global) + Sparse (Position-aware),Learned Ensemble (0.2*Neural + 0.8*Sparse),4-Fold Grouped SVD-KMeans,0.1218,0.0559,Optimal linear combination of neural sequence and sparse model
Exp 5 - Hierarchical Multi-Position Model,Local Word (6k) + Dense Stats (12) + Global (2k),AudienceResponseMultiPositionModel (GlobalEnergy+LocalEncoder+2L-BiGRU+OrdinalLoss),4-Fold Similarity-Cluster Holdout,0.1000,0.0530,Hierarchical architecture with global show energy encoder and dense structural features
Exp 6 - Transformer-BiGRU Hybrid Model,Local Word (6k) + Dense Stats (12) + Global (2k),TransformerMultiPositionModel (GlobalEnergy+SelfAttention+BiGRU+SparseBlend),4-Fold Similarity-Cluster Holdout,0.1209,0.0540,Hybrid multi-head self-attention with bidirectional GRU context
Exp 7 - Contextual Sparse Multi-Head Model,Word (30k) + Char (20k) Context Windows (__PREV__/__CURR__/__NEXT__) + Dense Stats (14),6-Head Context Logistic Regression (balanced),4-Fold Combined Semantic+Style Holdout (Scheme A),0.1707,0.0502,Uncompressed Indonesian punchline n-grams with cross-window pacing context
Exp 8 - Calibrated Sparse Multi-Head Model,Contextual Word (30k) + Char (20k) + Dense Stats (14),6-Head Context Logistic Regression + Metric-Direct Calibration,4-Fold Combined Semantic+Style Holdout (Scheme A),0.1784,0.0459,Out-of-fold threshold calibration targeting 75% Token Macro-F1 Shipd metric
Exp 9 - V3 Hybrid Multi-Position Ensemble,Contextual Word (30k) + Char (20k) + 14 Dense Stats + 2L-BiGRU + LightGBM GBDT,Hybrid Ensemble (0.60 Context Sparse + 0.15 Neural BiGRU + 0.25 LightGBM GBDT) + Calibrated Decision,4-Fold Combined Semantic+Style Holdout (Scheme A),0.1882,0.0540,Surpassed >=0.18 on artificially balanced CV but showed static calibration negative transfer on quiet collections
Exp 10 - V4 True 3-Level Evaluation & Holdout Validation,Contextual Word (25k) + Char (12k) + 14 Dense Stats + BiGRU + LightGBM,Hybrid Ensemble (0.55 Sparse + 0.25 BiGRU Sequence + 0.20 LightGBM) + Raw Decision,Untouched 15% Local Holdout (318 samples across 5 clusters),0.1397,0.0510,Discovered static calibration drops score to 0.1094 (matching 0.1064 Shipd score). Uncalibrated raw probability ensembling preserves exact profile match (0.2421) and lifts holdout score to 0.1397.
