task_id,title,section,question,table
f_ccd66f233790827829f8,List of mayors of Parma,Popular election (since 1994),"Who is the current mayor of Parma, what party affiliations has he had, and when was he first elected and re-confermed?","[[""-"", ""Mayor"", ""Term start"", ""Term end"", ""Party""], [""(9)"", ""Stefano Lavagetto"", ""29 June 1994"", ""8 June 1998"", ""Democratic Party of the Left""], [""10"", ""Elvio Ubaldi"", ""8 June 1998"", ""25 May 2002"", ""Centre-right independent""], [""10"", ""Elvio Ubaldi"", ""25 May 2002"", ""21 June 2007"", ""Centre-right independent""], [""11"", ""Pietro Vignali"", ""21 June 2007"", ""28 September 2011"", ""Forza Italia""], [""12"", ""Federico Pizzarotti"", ""25 May 2012"", ""30 June 2017"", ""Five Star Movement""], [""-"", ""Federico Pizzarotti"", ""30 June 2017"", ""Incumbent"", ""Italy in Common""]]"
f_f821b57b91a91c9f50c6,Meenakshi (actress),Filmography,"What 2007 film did Meenakshi play Raasathi, and what language was the film in?","[[""Year"", ""Title"", ""Role"", ""Language"", ""Notes""], [""2006"", ""Hanumanthu"", ""-"", ""Telugu"", ""-""], [""2007"", ""Sri Satyanarayana Swamy"", ""Lakshmi"", ""Telugu"", ""-""], [""2007"", ""Karuppusamy Kuththagaithaarar"", ""Raasathi"", ""Tamil"", ""-""], [""2009"", ""TN 07 AL 4777"", ""Pooja"", ""Tamil"", ""-""], [""2009"", ""Perumal"", ""Dr. Alamu"", ""Tamil"", ""-""], [""2009"", ""Rajadhi Raja"", ""Thangapazham"", ""Tamil"", ""-""], [""2009"", ""Thoranai"", ""-"", ""Tamil"", ""Special appearance""], [""2009"", ""Chattambinadu"", ""Dr.Lakshmi"", ""Malayalam"", ""-""], [""2010"", ""Mandhira Punnagai"", ""Nandhini"", ""Tamil"", ""-""], [""2010"", ""Agam Puram"", ""Nadia"", ""Tamil"", ""-""], [""2012"", ""Thuppakki"", ""-"", ""Tamil"", ""Special appearance""], [""2014"", ""Vellaikaara Durai"", ""-"", ""Tamil"", ""Special appearance""], [""2015"", ""Naanum Rowdydhaan"", ""Baby"", ""Tamil"", ""-""], [""2016"", ""Sowkarpettai"", ""Sanya"", ""Tamil"", ""-""], [""2016"", ""Thirunaal"", ""Prema"", ""Tamil"", ""-""], [""2016"", ""Ner Mugam"", ""-"", ""Tamil"", ""-""], [""2017"", ""Aangila Padam"", ""-"", ""Tamil"", ""-""]]"
f_4ad62a49f2f3d7cce51a,Tony Barbee,Head coaching record,What was Tony Barbee's overall record and percentage at UTEP?,"[[""Season"", ""Team"", ""Overall"", ""Conference"", ""Standing"", ""Postseason""], [""UTEP Miners (Conference USA) (2006–2010)"", ""UTEP Miners (Conference USA) (2006–2010)"", ""UTEP Miners (Conference USA) (2006–2010)"", ""UTEP Miners (Conference USA) (2006–2010)"", ""UTEP Miners (Conference USA) (2006–2010)"", ""UTEP Miners (Conference USA) (2006–2010)""], [""2006–07"", ""UTEP"", ""14–17"", ""6–10"", ""10th"", ""-""], [""2007–08"", ""UTEP"", ""19–14"", ""8–8"", ""6th"", ""CBI First Round""], [""2008–09"", ""UTEP"", ""23–14"", ""10–6"", ""4th"", ""CBI Runner-up""], [""2009–10"", ""UTEP"", ""26–7"", ""15–1"", ""1st"", ""NCAA Division I First Round""], [""UTEP:"", ""UTEP:"", ""82–52 (.612)"", ""39–25 (.609)"", ""-"", ""-""], [""Auburn Tigers (Southeastern Conference) (2010–2014)"", ""Auburn Tigers (Southeastern Conference) (2010–2014)"", ""Auburn Tigers (Southeastern Conference) (2010–2014)"", ""Auburn Tigers (Southeastern Conference) (2010–2014)"", ""Auburn Tigers (Southeastern Conference) (2010–2014)"", ""Auburn Tigers (Southeastern Conference) (2010–2014)""], [""2010–11"", ""Auburn"", ""11–20"", ""4–12"", ""5th (West)"", ""-""], [""2011–12"", ""Auburn"", ""15–16"", ""5–11"", ""T–10th"", ""-""], [""2012–13"", ""Auburn"", ""9–23"", ""3–15"", ""14th"", ""-""], [""2013–14"", ""Auburn"", ""14–16"", ""6–12"", ""12th"", ""-""], [""Auburn:"", ""Auburn:"", ""49–75 (.395)"", ""18–50 (.265)"", ""-"", ""-""], [""Total:"", ""Total:"", ""131–127 (.508)"", ""-"", ""-"", ""-""], [""National champion Postseason invitational champion Conference regular season champion Conference regular season and conference tournament champion Division regular season champion Division regular season and conference tournament champion Conference tournament champion"", ""National champion Postseason invitational champion Conference regular season champion Conference regular season and conference tournament champion Division regular season champion Division regular season and conference tournament champion Conference tournament champion"", ""National champion Postseason invitational champion Conference regular season champion Conference regular season and conference tournament champion Division regular season champion Division regular season and conference tournament champion Conference tournament champion"", ""National champion Postseason invitational champion Conference regular season champion Conference regular season and conference tournament champion Division regular season champion Division regular season and conference tournament champion Conference tournament champion"", ""National champion Postseason invitational champion Conference regular season champion Conference regular season and conference tournament champion Division regular season champion Division regular season and conference tournament champion Conference tournament champion"", ""National champion Postseason invitational champion Conference regular season champion Conference regular season and conference tournament champion Division regular season champion Division regular season and conference tournament champion Conference tournament champion""]]"
f_2ade353bd8f26f72e39b,Fifteen (song),Accolades,"In 2010, the song Fifteen was nominated for what award by what organization?","[[""Year"", ""Organization"", ""Award"", ""Result"", ""Ref.""], [""2010"", ""BMI Awards"", ""Award-Winning Songs"", ""Won"", ""-""], [""2010"", ""BMI Awards"", ""Publisher of the Year"", ""Won"", ""-""], [""2010"", ""MTV Video Music Awards"", ""Best Female Video"", ""Nominated"", ""-""], [""2010"", ""Teen Choice Awards"", ""Choice Country Song"", ""Won"", ""-""]]"
f_3fbdc54e794756bf85e3,1978 United States House of Representatives election in the District of Columbia,Results,"Which candidates were Fauntroy's top two competitors in the 1978 United States House of Representatives election in D.C. and what percentage of the vote did they earn, respectively?","[[""Party"", ""Party"", ""Candidate"", ""Votes"", ""%""], [""-"", ""Democratic"", ""Walter E. Fauntroy (inc.)"", ""76,557"", ""79.59""], [""-"", ""Republican"", ""Jackson R. Champion"", ""11,677"", ""12.02""], [""-"", ""D.C. Statehood Green"", ""Gregory Rowe"", ""3,886"", ""4.04""], [""-"", ""Socialist Workers"", ""Charlotte J. Reavis"", ""1,649"", ""1.71""], [""-"", ""American Labor"", ""Cloid John Green"", ""1,064"", ""1.10""], [""-"", ""No party"", ""Write-ins"", ""1,473"", ""1.53%""], [""Total votes"", ""Total votes"", ""Total votes"", ""96,306"", ""100.00""], [""Turnout"", ""Turnout"", ""Turnout"", ""-"", ""-""], [""-"", ""Democratic hold"", ""Democratic hold"", ""Democratic hold"", ""Democratic hold""]]"
f_f8e3f02c02554a8a9933,Greta Gerwig,Film,What were Greta Gerwig's 2000s writing roles?,"[[""Year"", ""Title"", ""Role"", ""Notes""], [""2006"", ""LOL"", ""Greta"", ""-""], [""2007"", ""Hannah Takes the Stairs"", ""Hannah"", ""Also writer""], [""2008"", ""Baghead"", ""Michelle"", ""-""], [""2008"", ""Yeast"", ""Gen"", ""-""], [""2008"", ""Nights and Weekends"", ""Mattie"", ""Also writer, director, and producer""], [""2008"", ""Quick Feet, Soft Hands"", ""Lisa"", ""Short film""], [""2008"", ""I Thought You Finally Completely Lost It"", ""Greta"", ""-""], [""2009"", ""You Wont Miss Me"", ""Bridget"", ""-""], [""2009"", ""The House of the Devil"", ""Megan"", ""-""], [""2010"", ""Greenberg"", ""Florence Marr"", ""-""], [""2010"", ""Art House"", ""Nora Ohr"", ""-""], [""2010"", ""Northern Comfort"", ""Cassandra"", ""Also writer""], [""2010"", ""The Dish & the Spoon"", ""Rose"", ""-""], [""2011"", ""No Strings Attached"", ""Patrice"", ""-""], [""2011"", ""Damsels in Distress"", ""Violet Wister"", ""-""], [""2011"", ""Arthur"", ""Naomi Quinn"", ""-""], [""2012"", ""To Rome with Love"", ""Sally"", ""-""], [""2012"", ""Lola Versus"", ""Lola"", ""-""], [""2012"", ""Frances Ha"", ""Frances Halladay"", ""Also writer""], [""2014"", ""Eden"", ""Julia"", ""-""], [""2014"", ""The Humbling"", ""Pegeen Mike Stapleford"", ""-""], [""2015"", ""Mistress America"", ""Brooke Cardinas"", ""Also writer and producer""], [""2015"", ""Maggie's Plan"", ""Maggie Hardin"", ""-""], [""2016"", ""Wiener-Dog"", ""Dawn Wiener"", ""-""], [""2016"", ""Jackie"", ""Nancy Tuckerman"", ""-""], [""2016"", ""20th Century Women"", ""Abigail Porter"", ""-""], [""2017"", ""The Meyerowitz Stories"", ""Victoria"", ""Voice; Uncredited""], [""2017"", ""Lady Bird"", ""N/A"", ""Writer and director""], [""2018"", ""Isle of Dogs"", ""Tracy Walker"", ""Voice""], [""2019"", ""Little Women"", ""N/A"", ""Post-production; Writer and director""]]"
f_0266012b18e532091ce4,Sue McCready,Olympic results,How did McCready perform in the 10m air rifle and 50m rifle in the 2000 olympics?,"[[""Event"", ""2000"", ""2004"", ""2008""], [""50 metre rifle three positions"", ""20th 574"", ""25th 567"", ""43rd 550""], [""10 metre air rifle"", ""15th 392"", ""27th 391"", ""42nd 386""]]"
f_80c7e1315adfb7f1c21d,Swimming at the 2000 Summer Olympics – Men's 200 metre freestyle,Final,Did Josh Davis beat anyone in the Men's 200 metre freestyle event at the 2000 Summer Olympics?,"[[""Rank"", ""Lane"", ""Name"", ""Nationality"", ""Time"", ""Notes""], [""-"", ""4"", ""Pieter van den Hoogenband"", ""Netherlands"", ""1:45.35"", ""=WR""], [""-"", ""5"", ""Ian Thorpe"", ""Australia"", ""1:45.83"", ""-""], [""-"", ""3"", ""Massimiliano Rosolino"", ""Italy"", ""1:46.65"", ""-""], [""4"", ""6"", ""Josh Davis"", ""United States"", ""1:46.73"", ""AM""], [""5"", ""8"", ""Paul Palmer"", ""Great Britain"", ""1:47.95"", ""-""], [""6"", ""7"", ""James Salter"", ""Great Britain"", ""1:48.74"", ""-""], [""7"", ""2"", ""Rick Say"", ""Canada"", ""1:48.76"", ""-""], [""8"", ""1"", ""Grant Hackett"", ""Australia"", ""1:49.46"", ""-""]]"
f_376bcac90fd5fb84f557,W. S. Van Dyke,Awards and nominations,For what films has W. S. Van Dyke been nominated for the Academy Award for Best Director?,"[[""Year"", ""Award"", ""Category"", ""Film"", ""Result""], [""1934"", ""Academy Award"", ""Best Film Editing (Conrad A. Nervig)"", ""Eskimo / Mala the Magnificent"", ""Won""], [""1935"", ""Academy Award"", ""Best Director"", ""The Thin Man"", ""Nominated""], [""1936"", ""Venice Film Festival"", ""Best Foreign Film"", ""San Francisco"", ""Nominated""], [""1937"", ""Academy Award"", ""Best Director"", ""San Francisco"", ""Nominated""], [""1938"", ""Venice Film Festival"", ""Best Foreign Film"", ""Marie Antoinette"", ""Nominated""]]"
f_f3d1164bb8d818f1120b,Ian Lougher,1983 Manx Grand Prix Newcomers Junior Race Results,Who won in the first three places of The Newcomers Manx Grand Prix race?,"[[""Rank"", ""Rider"", ""Team"", ""Speed"", ""Time""], [""1"", ""Northern Ireland Robert Dunlop"", ""Yamaha"", ""102.46 mph"", ""1:28.22.2""], [""2"", ""Scotland Steve Hislop"", ""Yamaha"", ""101.27"", ""1:29.24.8""], [""3"", ""Wales Ian Lougher"", ""Yamaha"", ""100.62"", ""1:29.59.2""]]"
