phase,experiment,model,features,mean,std,worst,folds,notes
development,baseline-supplied,LightGBM,word TF-IDF + lexical/recency,0.4857,0.0272,0.4585,"[0.5128, 0.4585]","supplied starting point, 2-fold pseudo-article audit reported in the original report.json"
development,lgbm-handcrafted-plain-threshold,LightGBM,82 handcrafted,0.6624,0.0369,0.6156,"[0.6459, 0.6527, 0.6709, 0.7271, 0.6156]","rebuilt feature set, single global probability threshold, no structural decoding"
development,lgbm-handcrafted+structural-decoder,LightGBM,82 handcrafted,0.6799,0.0315,0.6355,"[0.6709, 0.6623, 0.7092, 0.7215, 0.6355]","adds same-mention score pooling, nesting suppression and a relative threshold (+1.8)"
development,lgbm+sapbert,LightGBM,82 handcrafted + SapBERT mention cosine,0.7335,0.0258,0.688,"[0.7481, 0.7244, 0.744, 0.7628, 0.688]",frozen SapBERT captures alias/acronym/synonym pairs the lexical features miss (+5.4)
development,lgbm+sapbert+identifier-feats,LightGBM,99 handcrafted + SapBERT,0.7395,0.0344,0.6895,"[0.7514, 0.7089, 0.771, 0.7764, 0.6895]","adds identifier-token (Annexin A7 vs A1), coordination and modifier-set features"
development,lgbm+sapbert+biomedbert-spans,LightGBM,113 handcrafted + SapBERT + BiomedBERT spans,0.7481,0.0242,0.7176,"[0.7529, 0.7258, 0.7591, 0.785, 0.7176]",frozen contextual span cosine; largest single drop in fold variance
development,lgbm-hyperparameter-sweep-best,LightGBM,"same, class_weight=balanced, 3 seeds",0.7512,0.0212,0.7253,"[0.764, 0.7306, 0.7532, 0.7826, 0.7253]","best of {base, deep, shallow, balanced, colsample, reg, dart}; dart was worst at 0.7293"
development,lgbm-lambdarank,LightGBM ranker,82 handcrafted,0.6452,0.0372,0.5903,"[0.6422, 0.6249, 0.669, 0.6994, 0.5903]",listwise objective underperformed the calibrated binary scorer; abandoned
development,siamese-head-on-frozen-spans,MLP over frozen BiomedBERT spans,span embeddings,0.6212,0.0329,0.5827,"[0.6657, 0.5827, 0.6133, 0.6529, 0.5912]",a learned head on frozen representations is far weaker than fine-tuning; not used
development,neural-BiomedBERT-1seed,span-coref BiomedBERT-base,text only,0.8054,0.0154,0.7796,"[0.8244, 0.7984, 0.8142, 0.8105, 0.7796]","fine-tuned span scorer, 4 epochs; first model over the 0.80 target on its own"
development,neural-BiomedBERT-2seed,span-coref BiomedBERT-base,text only,0.8161,0.0224,0.7811,"[0.8367, 0.7977, 0.8323, 0.8326, 0.7811]",seed averaging over seeds 42 and 7
development,neural-BioLinkBERT-1seed,span-coref BioLinkBERT-base,text only,0.8349,0.0282,0.7951,"[0.8637, 0.8074, 0.8493, 0.8592, 0.7951]",stronger encoder for this corpus than BiomedBERT
development,neural-BioLinkBERT-2seed,span-coref BioLinkBERT-base,text only,0.8409,0.025,0.8029,"[0.8615, 0.8209, 0.8504, 0.8688, 0.8029]",seed averaging over seeds 42 and 7
development,blend-rank-space,rank blend,LGBM + BiomedBERT,0.7351,0.0167,0.7034,"[0.7411, 0.7359, 0.7428, 0.7525, 0.7034]",rank averaging destroys the calibration the threshold relies on; probability blending kept
development,blend-lgbm+BiomedBERT,probability blend,two models,0.8282,0.0374,0.7679,"[0.8609, 0.8008, 0.8595, 0.8521, 0.7679]",first blend; feature model and neural model make complementary errors
development,blend-lgbm+BioLinkBERT,probability blend,two models,0.8426,0.0321,0.7937,"[0.8577, 0.8242, 0.8404, 0.8524, 0.7982]",weights and decoder tuned per outer fold
development,blend-lgbm+BiomedBERT+BioLinkBERT (1 seed each),probability blend,three models,0.8489,0.0378,0.786,"[0.8609, 0.8008, 0.8595, 0.8521, 0.7679]",three-way blend
development,blend-final (LGBM + BiomedBERT x2 + BioLinkBERT x2),probability blend,three models,0.8556,0.0296,0.8133,"[0.8665, 0.8282, 0.8834, 0.8864, 0.8133]",SELECTED. per-fold weights were stable at roughly 0.3 / 0.2 / 0.5
final solution.py run,lgbm-handcrafted,LightGBM,99 handcrafted,0.6788,0.0412,0.6251,"[0.6672, 0.6581, 0.6959, 0.7477, 0.6251]",stage 1 baseline; structural decoder
final solution.py run,lgbm-embeddings,LightGBM,122 handcrafted + SapBERT + BiomedBERT,0.7497,0.0242,0.7185,"[0.7715, 0.7243, 0.7566, 0.7778, 0.7185]",stage 2
final solution.py run,neural-BioLinkBERT-base,michiyasunaga/BioLinkBERT-base,span representations (text only),0.8393,0.0255,0.8059,"[0.867, 0.8116, 0.8509, 0.861, 0.8059]","4 epochs, seeds (42, 7)"
final solution.py run,neural-BiomedNLP-BiomedBE,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,span representations (text only),0.8111,0.0262,0.7774,"[0.8495, 0.7919, 0.8054, 0.8314, 0.7774]","4 epochs, seeds (42, 7)"
final solution.py run,blend-lgbm+neural-BioLinkBERT-base+neural-BiomedNLP-BiomedBE,probability blend,all,0.8516,0.0296,0.8092,"[0.8749, 0.8232, 0.8683, 0.8824, 0.8092]",weights and decoder fitted per outer fold
