experiment,model_family,features,validation_split,mean,std,worst_fold,runtime_s,notes
exp0_starter_audit,Starter: HistGB classifier + HistGB count + HistGB heads (single segment),starter features (raw+ctx+ranks+z+derived),"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.3216,0.0297,0.2902,1500,"FULL local score (main variant). Leak fixed: heads fit on train folds only (starter fit them on all data). Starter also crashes at write (csv not imported). F1 0.439 traj 0.306 inst 0.518 order 0.625 | folds=[np.float64(0.3646), np.float64(0.2902), np.float64(0.3335), np.float64(0.2982)]"
exp1_cand_base,LightGBM binary (lr.05 63 leaves 600 it),58 base + 7 nested-LODO token priors; seen-key rows only,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4708,0.0377,0.4232,135,"METRIC=candidate F1 (expected-F1 k). AUC .951-.963 | folds=[np.float64(0.5054), np.float64(0.4232), np.float64(0.51), np.float64(0.4445)]"
exp1_full,"exp1 candidates + heads v2 (L1 ins, per-minute cov/level GBDT)",as above,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.3533,0.0306,0.3179,110,"FULL local score main; thr0.4 coverage, k x1.0. F1 .471 inst .530 traj .364 order .650 | folds=[np.float64(0.3835), np.float64(0.3179), np.float64(0.3839), np.float64(0.3277)]"
exp1b_decoder_scan,decoder scan on exp1 OOF,-,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4832,0.0357,0.4408,5,"METRIC=candidate F1; expected-F1 k x1.3 best vs thresholds / sum-p | folds=[np.float64(0.5184), np.float64(0.4408), np.float64(0.5188), np.float64(0.4548)]"
exp2_temporal_causal,LightGBM binary,exp1 + same-day lag1/lag2 unit inputs + expanding stats (inputs only),"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4696,0.0376,0.4253,190,"METRIC=candidate F1. No gain (-0.001) -> rejected | folds=[np.float64(0.5124), np.float64(0.4253), np.float64(0.5009), np.float64(0.4397)]"
exp2_temporal_full,LightGBM binary,exp1 + lags + lead1 + whole-day unit aggregates (inputs only),"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4755,0.0371,0.4297,280,"METRIC=candidate F1. +0.005 but uses later-period test inputs -> rejected (future-information / cross-episode concern) | folds=[np.float64(0.5162), np.float64(0.4297), np.float64(0.5077), np.float64(0.4485)]"
exp3_keyz,LightGBM binary,exp1 + per-key input z-scores + accepted-conditional z-scores (nested LODO),"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4766,0.0374,0.4249,217,"METRIC=candidate F1. +0.006, all 4 folds improve -> kept | folds=[np.float64(0.5121), np.float64(0.4249), np.float64(0.5123), np.float64(0.4572)]"
diag_oracle_daystate,"LightGBM binary (DIAGNOSTIC, label leak by design)",keyz + true same-day acceptance fraction,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.5371,0.0341,0.4979,173,"Upper bound for perfect day-state knowledge: only +0.06 F1. Not usable. | folds=[np.float64(0.5749), np.float64(0.4979), np.float64(0.5668), np.float64(0.5087)]"
exp4_scan_lr03_l31,LightGBM binary lr.03 31 leaves mdl100 1000 it,keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.491,0.0316,0.4533,300,"METRIC=candidate F1 (k x1.3). Best GBDT config; base 63 leaves overfits after 300 it | folds=[np.float64(0.5291), np.float64(0.4533), np.float64(0.5146), np.float64(0.4672)]"
exp4_scan_l127,LightGBM binary 127 leaves ff.5,keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4922,0.0343,0.4555,550,"METRIC=candidate F1 @300 it; degrades with more its | folds=[np.float64(0.5334), np.float64(0.4555), np.float64(0.5187), np.float64(0.4611)]"
